Authentic Equity Acquisition Corp.,Financial,Shell Companies,9.90,0.10%,08/26/2022,Friday,no
American Resources Corporation,Energy,Thermal Coal,2.96,1.72%,08/26/2022,Friday,yes
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,5.71,1.42%,08/26/2022,Friday,no
NOW Inc.,Energy,Oil & Gas Equipment & Services,12.97,-1.59%,08/26/2022,Friday,yes
"Hudson Technologies, Inc.",Basic Materials,Specialty Chemicals,10.48,-2.51%,08/26/2022,Friday,yes
"Overseas Shipholding Group, Inc.",Energy,Oil & Gas Midstream,3.04,1.67%,08/26/2022,Friday,yes
"Plains All American Pipeline, L.P.",Energy,Oil & Gas Midstream,12.26,-0.73%,08/26/2022,Friday,no
RiceBran Technologies,Consumer Defensive,Packaged Foods,2.57,763.91%,08/26/2022,Friday,no
"Soleno Therapeutics, Inc.",Healthcare,Diagnostics & Research,1.92,1097.01%,08/26/2022,Friday,no
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,2.68,10.74%,08/26/2022,Friday,yes
"Mammoth Energy Services, Inc.",Energy,Oil & Gas Equipment & Services,4.81,-5.69%,08/26/2022,Friday,no
Ares Acquisition Corporation,Financial,Shell Companies,9.90,-0.10%,08/29/2022,Monday,no
American Resources Corporation,Energy,Thermal Coal,3.26,10.14%,08/29/2022,Monday,yes
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,5.80,1.58%,08/29/2022,Monday,yes
FTAC Hera Acquisition Corp.,Financial,Shell Companies,9.87,0.10%,08/29/2022,Monday,no
"Hill International, Inc.",Industrials,Engineering & Construction,3.37,20.36%,08/29/2022,Monday,no
"GEE Group, Inc.",Industrials,Staffing & Employment Services,0.72,1.77%,08/29/2022,Monday,no
"Plains All American Pipeline, L.P.",Energy,Oil & Gas Midstream,12.27,0.08%,08/29/2022,Monday,yes
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.91,0.10%,08/31/2022,Wednesday,no
Medicus Sciences Acquisition Corp.,Financial,Shell Companies,9.86,0.00%,08/31/2022,Wednesday,no
BOA Acquisition Corp.,Financial,Shell Companies,9.83,-0.20%,09/01/2022,Thursday,no
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,5.92,1.72%,09/01/2022,Thursday,no
Flame Acquisition Corp.,Financial,Shell Companies,9.79,-0.41%,09/01/2022,Thursday,no
Geron Corporation,Healthcare,Biotechnology,2.68,1.52%,09/01/2022,Thursday,no
"Overseas Shipholding Group, Inc.",Energy,Oil & Gas Midstream,3.14,0.96%,09/01/2022,Thursday,no
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,3.01,22.36%,09/01/2022,Thursday,no
Williams Rowland Acquisition Corp.,Financial,Shell Companies,10.05,-0.40%,09/01/2022,Thursday,no
"ADMA Biologics, Inc.",Healthcare,Biotechnology,2.81,4.46%,09/02/2022,Friday,no
Geron Corporation,Healthcare,Biotechnology,2.66,-0.75%,09/02/2022,Friday,yes
"GigCapital5, Inc.",Financial,Shell Companies,10.11,0.20%,09/02/2022,Friday,no
"Overseas Shipholding Group, Inc.",Energy,Oil & Gas Midstream,3.23,2.87%,09/02/2022,Friday,yes
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,2.90,-3.65%,09/02/2022,Friday,yes
"ADMA Biologics, Inc.",Healthcare,Biotechnology,2.81,4.46%,09/05/2022,Monday,yes
Geron Corporation,Healthcare,Biotechnology,2.66,-0.75%,09/05/2022,Monday,yes
"GigCapital5, Inc.",Financial,Shell Companies,10.11,0.20%,09/05/2022,Monday,yes
